Packet_Number,Timestamp,Data
547,2026-02-27 00:10:08,-276.1904761904762|-288.64468864468864|-286.4468864468864|-290.84249084249086|-277.65567765567766
548,2026-02-27 00:10:08,-282.7838827838828|-271.79487179487177|-258.6080586080586|-260.0732600732601|-249.8168498168498
549,2026-02-27 00:10:08,-243.95604395604394|-238.0952380952381|-238.0952380952381|-238.0952380952381|-220.51282051282053
550,2026-02-27 00:10:09,-235.16483516483515|-228.57142857142858|-223.44322344322345|-219.04761904761904|-204.3956043956044
551,2026-02-27 00:10:09,-204.3956043956044|-205.12820512820514|-194.13919413919413|-197.06959706959708|-182.41758241758242
552,2026-02-27 00:10:09,-188.2783882783883|-173.62637362637363|-167.76556776556777|-169.23076923076923|-158.97435897435898
553,2026-02-27 00:10:09,-156.04395604395606|-166.3003663003663|-158.97435897435898|-155.3113553113553|-141.3919413919414
554,2026-02-27 00:10:09,-142.85714285714286|-145.05494505494505|-134.06593406593407|-135.53113553113553|-129.67032967032966
555,2026-02-27 00:10:09,-131.86813186813185|-127.47252747252747|-125.27472527472527|-125.27472527472527|-119.41391941391942
556,2026-02-27 00:10:09,-124.54212454212454|-114.28571428571429|-110.62271062271063|-119.41391941391942|-110.62271062271063
557,2026-02-27 00:10:09,-107.6923076923077|-98.9010989010989|-87.91208791208791|-89.37728937728937|-56.41025641025641
558,2026-02-27 00:10:09,-25.641025641025642|-18.315018315018314|-40.29304029304029|-75.45787545787546|-107.6923076923077
559,2026-02-27 00:10:09,-120.14652014652015|-120.87912087912088|-110.62271062271063|-115.01831501831502|-102.56410256410257
560,2026-02-27 00:10:09,-109.15750915750915|-113.55311355311355|-18.315018315018314|314.2857142857143|1299.6336996336997
561,2026-02-27 00:10:09,1499.6336996336997|1158.2417582417581|-267.3992673992674|-730.4029304029305|-434.43223443223445
562,2026-02-27 00:10:09,-192.67399267399267|-100.36630036630036|-96.7032967032967|-96.7032967032967|-75.45787545787546
563,2026-02-27 00:10:09,-62.27106227106227|-59.34065934065934|-51.282051282051285|-47.61904761904762|-25.641025641025642
564,2026-02-27 00:10:09,-16.84981684981685|12.454212454212454|27.106227106227106|40.29304029304029|71.06227106227107
565,2026-02-27 00:10:09,101.83150183150182|127.47252747252747|161.9047619047619|200.0|249.8168498168498
566,2026-02-27 00:10:09,295.23809523809524|367.032967032967|435.8974358974359|488.64468864468864|550.1831501831501
567,2026-02-27 00:10:09,579.4871794871794|592.6739926739926|591.2087912087912|542.1245421245421|473.992673992674
568,2026-02-27 00:10:09,339.1941391941392|209.52380952380952|75.45787545787546|-50.54945054945055|-135.53113553113553
569,2026-02-27 00:10:09,-221.97802197802199|-271.79487179487177|-302.56410256410254|-333.3333333333333|-340.65934065934067
570,2026-02-27 00:10:09,-346.5201465201465|-361.17216117216117|-377.2893772893773|-367.032967032967|-355.3113553113553
571,2026-02-27 00:10:09,-336.2637362637363|-340.65934065934067|-302.56410256410254|-293.7728937728938|-276.9230769230769
572,2026-02-27 00:10:09,-277.65567765567766|-268.13186813186815|-263.7362637362637|-263.003663003663|-252.01465201465203
573,2026-02-27 00:10:09,-258.6080586080586|-255.67765567765568|-252.74725274725276|-254.94505494505495|-252.74725274725276
574,2026-02-27 00:10:10,-273.2600732600733|-264.46886446886447|-260.0732600732601|-266.6666666666667|-254.94505494505495
575,2026-02-27 00:10:10,-262.27106227106225|-260.0732600732601|-249.8168498168498|-246.8864468864469|-238.82783882783883
576,2026-02-27 00:10:10,-246.8864468864469|-241.02564102564102|-235.89743589743588|-237.36263736263737|-227.1062271062271
577,2026-02-27 00:10:10,-236.63003663003664|-226.37362637362637|-225.64102564102564|-229.3040293040293|-208.7912087912088
578,2026-02-27 00:10:10,-205.86080586080587|-195.6043956043956|-193.4065934065934|-194.13919413919413|-180.95238095238096
579,2026-02-27 00:10:10,-183.88278388278388|-176.55677655677655|-174.35897435897436|-173.62637362637363|-160.43956043956044
580,2026-02-27 00:10:10,-164.10256410256412|-159.7069597069597|-158.97435897435898|-155.3113553113553|-142.85714285714286
581,2026-02-27 00:10:10,-145.78754578754578|-134.7985347985348|-134.7985347985348|-145.78754578754578|-133.33333333333334
582,2026-02-27 00:10:10,-125.27472527472527|-117.94871794871794|-117.94871794871794|-122.34432234432235|-112.08791208791209
583,2026-02-27 00:10:10,-114.28571428571429|-112.82051282051282|-108.42490842490842|-99.63369963369964|-85.71428571428571
584,2026-02-27 00:10:10,-101.83150183150182|-75.45787545787546|-32.967032967032964|-32.967032967032964|-37.362637362637365
585,2026-02-27 00:10:10,-72.52747252747253|-100.36630036630036|-118.68131868131869|-125.27472527472527|-112.08791208791209
586,2026-02-27 00:10:10,-122.34432234432235|-113.55311355311355|-106.22710622710623|-112.08791208791209|-47.61904761904762
587,2026-02-27 00:10:10,185.34798534798534|871.0622710622711|1499.6336996336997|1482.051282051282|40.29304029304029
588,2026-02-27 00:10:10,-734.7985347985348|-621.978021978022|-332.6007326007326|-141.3919413919414|-86.44688644688645
589,2026-02-27 00:10:10,-79.85347985347985|-66.66666666666667|-48.35164835164835|-41.02564102564103|-28.571428571428573
590,2026-02-27 00:10:10,-26.373626373626372|-6.593406593406593|10.989010989010989|17.582417582417584|37.362637362637365
591,2026-02-27 00:10:10,52.014652014652015|78.3882783882784|98.9010989010989|113.55311355311355|159.7069597069597
592,2026-02-27 00:10:10,186.8131868131868|232.23443223443223|280.5860805860806|347.98534798534797|413.9194139194139
593,2026-02-27 00:10:10,463.003663003663|530.4029304029305|560.4395604395604|578.021978021978|576.5567765567765
594,2026-02-27 00:10:10,538.4615384615385|481.31868131868134|371.42857142857144|232.23443223443223|110.62271062271063
595,2026-02-27 00:10:10,-12.454212454212454|-124.54212454212454|-205.86080586080587|-266.6666666666667|-296.7032967032967
596,2026-02-27 00:10:10,-322.34432234432234|-336.2637362637363|-347.98534798534797|-354.57875457875457|-344.32234432234435
597,2026-02-27 00:10:10,-331.86813186813185|-312.8205128205128|-314.2857142857143|-312.8205128205128|-302.56410256410254
598,2026-02-27 00:10:10,-296.7032967032967|-293.7728937728938|-288.64468864468864|-290.84249084249086|-276.1904761904762
599,2026-02-27 00:10:10,-276.1904761904762|-271.79487179487177|-274.72527472527474|-284.98168498168496|-286.4468864468864
600,2026-02-27 00:10:11,-287.9120879120879|-277.65567765567766|-284.98168498168496|-296.7032967032967|-293.7728937728938
601,2026-02-27 00:10:11,-293.7728937728938|-283.5164835164835|-284.98168498168496|-287.1794871794872|-274.72527472527474
602,2026-02-27 00:10:11,-273.992673992674|-263.7362637362637|-261.53846153846155|-265.9340659340659|-252.74725274725276
603,2026-02-27 00:10:11,-261.53846153846155|-258.6080586080586|-254.94505494505495|-248.35164835164835|-237.36263736263737
604,2026-02-27 00:10:11,-248.35164835164835|-230.76923076923077|-226.37362637362637|-226.37362637362637|-220.51282051282053
605,2026-02-27 00:10:11,-219.04761904761904|-211.7216117216117|-205.86080586080587|-204.3956043956044|-200.0
606,2026-02-27 00:10:11,-204.3956043956044|-196.33699633699635|-189.01098901098902|-189.74358974358975|-177.28937728937728
607,2026-02-27 00:10:11,-173.62637362637363|-171.42857142857142|-169.23076923076923|-165.56776556776558|-153.1135531135531
608,2026-02-27 00:10:11,-154.57875457875457|-149.45054945054946|-142.12454212454213|-125.27472527472527|-123.80952380952381
609,2026-02-27 00:10:11,-131.13553113553112|-76.92307692307692|-54.94505494505494|-72.52747252747253|-86.44688644688645
610,2026-02-27 00:10:11,-117.94871794871794|-144.32234432234432|-160.43956043956044|-150.1831501831502|-141.3919413919414
