Packet_Number,Timestamp,Data
397,2026-01-31 19:26:47,[120.14652014652015|138.46153846153845|169.23076923076923|178.75457875457874|183.88278388278388]
398,2026-01-31 19:26:47,[181.6849816849817|170.6959706959707|145.78754578754578|71.7948717948718|52.014652014652015]
399,2026-01-31 19:26:47,[-13.186813186813186|-66.66666666666667|-106.22710622710623|-142.85714285714286|-161.9047619047619]
400,2026-01-31 19:26:47,[-182.41758241758242|-197.06959706959708|-200.73260073260073|-208.05860805860806|-201.46520146520146]
401,2026-01-31 19:26:47,[-200.0|-197.06959706959708|-197.06959706959708|-228.57142857142858|-177.28937728937728]
402,2026-01-31 19:26:47,[-180.21978021978023|-183.15018315018315|-179.48717948717947|-179.48717948717947|-179.48717948717947]
403,2026-01-31 19:26:47,[-180.95238095238096|-181.6849816849817|-172.16117216117217|-175.0915750915751|-173.62637362637363]
404,2026-01-31 19:26:47,[-173.62637362637363|-172.16117216117217|-172.8937728937729|-208.05860805860806|-170.6959706959707]
405,2026-01-31 19:26:47,[-172.16117216117217|-172.16117216117217|-169.23076923076923|-167.03296703296704|-159.7069597069597]
406,2026-01-31 19:26:47,[-158.97435897435898|-158.97435897435898|-156.7765567765568|-164.83516483516485|-160.43956043956044]
407,2026-01-31 19:26:47,[-156.04395604395606|-154.57875457875457|-148.71794871794873|-188.2783882783883|-143.5897435897436]
408,2026-01-31 19:26:47,[-144.32234432234432|-142.12454212454213|-135.53113553113553|-141.3919413919414|-132.6007326007326]
409,2026-01-31 19:26:47,[-129.67032967032966|-134.06593406593407|-132.6007326007326|-132.6007326007326|-131.13553113553112]
410,2026-01-31 19:26:47,[-125.27472527472527|-126.00732600732601|-123.80952380952381|-156.04395604395606|-118.68131868131869]
411,2026-01-31 19:26:48,[-117.94871794871794|-122.34432234432235|-118.68131868131869|-114.28571428571429|-110.62271062271063]
412,2026-01-31 19:26:48,[-102.56410256410257|-109.15750915750915|-102.56410256410257|-107.6923076923077|-107.6923076923077]
413,2026-01-31 19:26:48,[-94.50549450549451|-73.99267399267399|-63.73626373626374|-107.6923076923077|-76.92307692307692]
414,2026-01-31 19:26:48,[-103.2967032967033|-112.08791208791209|-102.56410256410257|-106.95970695970696|-103.2967032967033]
415,2026-01-31 19:26:48,[-103.2967032967033|-106.22710622710623|-115.01831501831502|-109.15750915750915|54.21245421245421]
416,2026-01-31 19:26:48,[425.64102564102564|601.4652014652015|242.49084249084248|-302.56410256410254|-383.1501831501831]
417,2026-01-31 19:26:48,[-155.3113553113553|-90.10989010989012|-78.3882783882784|-75.45787545787546|-66.66666666666667]
